Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,Year
Chasson Randle,23,1,26,299,40,98,16,47,41,43,6,32,34,9,2,19,39,137,11.5,2016
Malachi Richardson,21,1,22,198,28,68,8,28,15,19,3,23,11,5,1,8,23,79,9,2016
Domantas Sabonis,20,1,81,1632,192,481,51,159,44,67,46,288,82,39,32,83,200,479,20.1,2016
Dario Šari?,22,1,81,2129,381,927,106,341,172,220,112,513,182,57,30,183,162,1040,26.3,2016
Tomáš Satoranský,25,1,57,719,61,147,9,37,23,33,25,83,92,26,6,38,60,154,12.6,2016
Wayne Selden,22,1,14,236,25,58,7,28,14,22,1,16,13,6,1,12,18,71,16.9,2016
Pascal Siakam,22,1,55,859,103,205,1,7,22,32,64,185,17,26,45,33,109,229,15.6,2016
Diamond Stone,19,1,7,24,3,13,0,0,4,4,1,6,0,0,1,2,5,10,3.4,2016
Isaiah Taylor,22,1,4,52,1,7,0,2,1,2,1,3,3,1,1,0,6,3,13,2016
Mike Tobey,22,1,2,25,1,4,0,0,0,0,2,3,1,0,0,1,2,2,12.5,2016
Tyler Ulis,21,1,61,1123,184,437,21,79,55,71,20,95,226,48,5,77,73,444,18.4,2016
Jarrod Uthoff,23,1,9,115,16,38,3,9,5,7,8,22,9,2,4,3,8,40,12.8,2016
Denzel Valentine,23,1,57,976,102,288,73,208,14,18,11,151,63,30,7,49,86,291,17.1,2016
Fred VanVleet,22,1,37,294,39,111,11,29,18,22,4,42,35,16,3,15,36,107,7.9,2016
Okaro White,24,1,35,471,33,87,12,34,20,22,25,82,21,10,10,18,52,98,13.5,2016
Isaiah Whitehead,21,1,73,1643,204,508,44,149,91,113,32,184,192,42,36,142,175,543,22.5,2016
Troy Williams,22,1,30,557,73,167,18,62,21,32,15,69,25,27,10,32,60,185,18.6,2016
Kyle Wiltjer,24,1,14,44,4,14,4,13,1,2,4,10,2,3,1,5,4,13,3.1,2016
Stephen Zimmerman,20,1,19,108,10,31,0,0,3,5,11,35,4,2,5,3,17,23,5.7,2016
Paul Zipser,22,1,44,843,88,221,33,99,31,40,15,125,36,15,16,40,78,240,19.2,2016
Ivica Zubac,19,1,38,609,126,238,0,3,32,49,41,159,30,14,33,30,66,284,16,2016
