Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Jeff Teague,21,1,71,719,90,227,7,32,41,49,5,67,122,34,11,50,82,228,18.57157719,19,72.25,73.5,79.5,98.5,36.5,135,30.5,129,175,4.5,,,13,11.05,3.18
Hasheem Thabeet,22,1,68,883,77,131,0,0,54,93,85,243,11,15,89,43,162,208,15.39531144,2,85.25,86.5,90.25,113,,,,,267,6.7,,,,,
Marcus Thornton,22,1,73,1872,398,883,117,313,144,177,72,211,114,58,11,76,127,1057,28.00715972,43,74.75,75.75,77,99,33,132,31,130,194,4.8,,,14,10.73,3.28
Marcus Thornton,22,1,73,1872,398,883,117,313,144,177,72,211,114,58,11,76,127,1057,28.00715972,45,73.75,74.75,79.75,97.5,43,140.5,34.5,132,177,5.3,8.25,8.5,3,10.96,3.02
Terrence Williams,22,1,78,1764,261,651,31,100,103,144,46,348,223,43,10,124,126,656,20.33323413,11,77,78.25,81,103.5,37,140.5,30.5,134,213,5.1,,,9,11.15,3.18
Sam Young,24,1,80,1321,224,497,11,56,136,175,77,201,52,34,20,94,106,595,21.02541711,36,77.25,78.75,82.75,105.5,33,138.5,27.5,133,223,4.9,,,,11.47,3.45
Jeff Adrien,24,1,23,196,23,54,0,0,11,19,23,58,10,4,5,9,28,57,18.0559949,,77.25,78.5,86,107.5,31.5,139,27.5,135,236,7.9,,,16,11.34,3.32
Solomon Alabi,22,1,12,59,3,15,0,0,0,2,7,14,2,2,2,3,5,6,10.21684746,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,10,13.2,3.68
Cole Aldrich,22,1,18,142,8,15,0,0,2,4,13,35,4,5,7,8,30,18,9.224922535,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,10,11.48,3.35
Al-Farouq Aminu,20,1,81,1452,160,406,45,143,92,119,75,267,60,59,25,103,121,457,16.67754132,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,13,11.29,3.3
James Anderson,21,1,26,286,31,81,18,46,14,18,2,23,18,3,6,13,24,94,15.61436713,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,14,11.86,3.19
